   117/299      6.9G   0.03357   0.01782   0.01665   0.06805        33       640    0.6885    0.8165    0.7982    0.5242   0.01595  0.005674  0.002607
   118/299      6.9G    0.0335   0.01742    0.0173   0.06821        45       640      0.72    0.8135    0.8052    0.5318   0.01593  0.005644  0.002754
   119/299      6.9G   0.03297   0.01726   0.01545   0.06567        18       640    0.6959    0.8254    0.8028    0.5358   0.01582  0.005668  0.002717
   120/299      6.9G    0.0326   0.01715   0.01509   0.06484        28       640    0.7084      0.83    0.8079    0.5385   0.01573  0.005662  0.002716
   121/299      6.9G   0.03335   0.01747   0.01696   0.06779        29       640    0.7207    0.8023    0.8062    0.5336   0.01579  0.005672  0.002801
   122/299      6.9G   0.03327   0.01746   0.01595   0.06668        28       640    0.7144    0.8177    0.8069    0.5286    0.0156  0.005649  0.002526
   123/299      6.9G   0.03282   0.01729   0.01603   0.06614        24       640    0.7079    0.8105    0.8052     0.529   0.01521  0.005655  0.002242
   124/299      6.9G   0.03234   0.01712   0.01547   0.06494        28       640    0.7121     0.818    0.8154     0.542   0.01513  0.005591  0.002195
   125/299      6.9G    0.0325   0.01725   0.01623   0.06598        31       640    0.7077    0.8294    0.8184    0.5419    0.0151  0.005615  0.002166
   126/299      6.9G   0.03337   0.01723   0.01564   0.06624        58       640    0.7009    0.8263    0.8185    0.5427   0.01503  0.005631  0.002476
   127/299      6.9G   0.03244   0.01748   0.01518   0.06509        33       640    0.6828    0.8346     0.819    0.5421   0.01502  0.005664  0.002188
   128/299      6.9G    0.0322   0.01724   0.01476   0.06419        36       640    0.6978    0.8262    0.8147    0.5422   0.01482  0.005642  0.002236
   129/299      6.9G   0.03257   0.01708    0.0157   0.06535        45       640    0.6852    0.8415    0.8247    0.5495   0.01481  0.005589  0.002026
   130/299      6.9G    0.0321   0.01682   0.01506   0.06398        19       640    0.7213    0.8382    0.8268    0.5514    0.0149  0.005606  0.002003
   131/299      6.9G   0.03228   0.01719   0.01493   0.06441        19       640    0.7184    0.8373    0.8237    0.5488    0.0149  0.005548  0.002087
   132/299      6.9G   0.03184   0.01711    0.0153   0.06425        28       640    0.6904    0.8488    0.8197    0.5453   0.01482  0.005605  0.001971
   133/299      6.9G    0.0326   0.01752   0.01545   0.06558        63       640    0.6851    0.8444     0.812    0.5423   0.01495  0.005569  0.001996
   134/299      6.9G   0.03297   0.01736   0.01506   0.06539        38       640    0.6993    0.8375    0.8169    0.5432   0.01501  0.005571   0.00194
   135/299      6.9G   0.03255   0.01704   0.01538   0.06497        35       640    0.7024    0.8387    0.8239    0.5457   0.01499  0.005585  0.001842
   136/299      6.9G   0.03225   0.01696   0.01542   0.06463        28       640    0.7031    0.8332    0.8225    0.5483   0.01507  0.005563  0.001913
   137/299      6.9G   0.03278    0.0169   0.01506   0.06474        36       640    0.7215    0.8326    0.8282    0.5544   0.01502  0.005509  0.001957
   138/299      6.9G   0.03247    0.0171   0.01585   0.06542        32       640    0.7117    0.8464    0.8301    0.5507   0.01492  0.005526  0.001886
   139/299      6.9G   0.03205   0.01698   0.01457   0.06359        48       640      0.71    0.8378    0.8271    0.5529   0.01496  0.005492   0.00185
   140/299      6.9G   0.03221   0.01738    0.0155   0.06509        43       640    0.7156    0.8452     0.834     0.561   0.01496  0.005429  0.001804
   141/299      6.9G   0.03185   0.01691   0.01529   0.06405        36       640    0.7306    0.8474    0.8346    0.5593   0.01486  0.005406  0.001785
   142/299      6.9G   0.03176    0.0167   0.01502   0.06349        45       640     0.725    0.8447    0.8354    0.5622   0.01464  0.005421  0.001781
   143/299      6.9G    0.0318   0.01714   0.01532   0.06427        45       640    0.7124    0.8375    0.8295     0.558    0.0147  0.005416  0.001653
   144/299      6.9G   0.03153   0.01678   0.01495   0.06326        34       640    0.7196    0.8512    0.8386    0.5632   0.01458  0.005414  0.001669
   145/299      6.9G   0.03184    0.0171   0.01484   0.06378        33       640    0.7204    0.8475    0.8428    0.5694   0.01457  0.005395  0.001635
   146/299      6.9G   0.03162   0.01686   0.01437   0.06285        37       640    0.7238    0.8539    0.8446    0.5697   0.01457  0.005348  0.001609
   147/299      6.9G   0.03175   0.01678   0.01392   0.06245        16       640    0.7266    0.8611    0.8476    0.5752   0.01445  0.005312  0.001534
   148/299      6.9G    0.0313   0.01629   0.01433   0.06192        28       640    0.7263    0.8641    0.8455     0.574   0.01436  0.005312  0.001508
   149/299      6.9G    0.0312   0.01685   0.01358   0.06163        25       640    0.7236    0.8526    0.8445    0.5779   0.01432  0.005282  0.001484
   150/299      6.9G    0.0323    0.0169   0.01512   0.06431        35       640    0.7283    0.8648    0.8474    0.5786   0.01439  0.005278  0.001499
   151/299      6.9G   0.03195   0.01713   0.01409   0.06316        19       640    0.7297    0.8671    0.8528    0.5809   0.01431  0.005289  0.001494
   152/299      6.9G   0.03102   0.01677   0.01391    0.0617        28       640    0.7317    0.8653     0.856    0.5825   0.01421  0.005266  0.001416
   153/299      6.9G   0.03084   0.01664   0.01441    0.0619        28       640    0.7308    0.8685    0.8548    0.5814   0.01414  0.005259   0.00142
   154/299      6.9G   0.03086   0.01677   0.01404   0.06168        27       640    0.7287    0.8608    0.8554    0.5845   0.01431   0.00523  0.001366
   155/299      6.9G   0.03144   0.01692   0.01443   0.06279        49       640     0.721    0.8551    0.8529    0.5847   0.01421  0.005226  0.001325
   156/299      6.9G   0.03172   0.01663   0.01361   0.06197        24       640    0.7224    0.8544    0.8536    0.5871    0.0142  0.005224  0.001313
   157/299      6.9G   0.03146   0.01694   0.01415   0.06255        35       640     0.715    0.8636    0.8553    0.5889   0.01405  0.005243  0.001301
   158/299      6.9G   0.03204   0.01716   0.01418   0.06338        22       640    0.7166    0.8663    0.8567    0.5912   0.01394  0.005217  0.001278
   159/299      6.9G   0.03122   0.01657   0.01339   0.06118        39       640    0.7186    0.8692    0.8532    0.5895   0.01385  0.005246  0.001221
   160/299      6.9G   0.03119   0.01673   0.01463   0.06255        35       640    0.7256     0.876    0.8558    0.5897   0.01391  0.005235  0.001221
   161/299      6.9G   0.03061   0.01651   0.01348    0.0606        44       640    0.7379    0.8718    0.8579    0.5914   0.01384  0.005213  0.001233
   162/299      6.9G   0.03056   0.01639   0.01372   0.06067        23       640    0.7345    0.8695    0.8611     0.596   0.01382  0.005205  0.001209
   163/299      6.9G   0.03045   0.01656   0.01331   0.06031        14       640    0.7388    0.8656    0.8609    0.5988   0.01382   0.00518  0.001202
   164/299      6.9G   0.03089    0.0168   0.01374   0.06143        39       640    0.7391    0.8742    0.8638    0.6007   0.01385  0.005159  0.001233
   165/299      6.9G   0.03118   0.01699   0.01426   0.06243        34       640    0.7223    0.8698    0.8614    0.5971    0.0139   0.00514  0.001228
   166/299      6.9G   0.03107   0.01635   0.01459   0.06201        21       640    0.7309    0.8754    0.8632    0.6032   0.01383  0.005138   0.00119
   167/299      6.9G   0.03032   0.01613    0.0134   0.05985        44       640    0.7261    0.8727    0.8653     0.606   0.01371  0.005154  0.001164
   168/299      6.9G    0.0306   0.01679   0.01253   0.05991        32       640    0.7238    0.8698    0.8634     0.603   0.01361  0.005148  0.001169
   169/299      6.9G   0.03031   0.01672   0.01305   0.06008        51       640    0.7164    0.8698    0.8658    0.6022    0.0135  0.005146  0.001073
   170/299      6.9G   0.03074   0.01632   0.01275   0.05981        34       640    0.7384    0.8714    0.8684    0.6074   0.01341  0.005138  0.001007
   171/299      6.9G   0.02982   0.01613   0.01272   0.05867        42       640    0.7412    0.8695     0.871    0.6074   0.01338  0.005115 0.0009824
   172/299      6.9G   0.03024   0.01638   0.01311   0.05972        25       640    0.7426    0.8692     0.872     0.609   0.01334  0.005097 0.0009556
   173/299      6.9G   0.02991   0.01607   0.01252    0.0585        17       640    0.7541    0.8795    0.8774    0.6114    0.0133   0.00508  0.000927
   174/299      6.9G   0.02988   0.01611   0.01223   0.05822        31       640      0.75    0.8794    0.8756    0.6125    0.0133  0.005067 0.0008978
   175/299      6.9G   0.03052   0.01648   0.01273   0.05973        35       640    0.7325    0.8758    0.8735    0.6119    0.0133   0.00506 0.0008901
   176/299      6.9G   0.03006   0.01627   0.01247    0.0588        30       640     0.737    0.8767    0.8737    0.6151   0.01328  0.005041  0.000884
   177/299      6.9G   0.02983   0.01638   0.01323   0.05944        62       640    0.7379    0.8762    0.8746    0.6151   0.01323  0.005033 0.0008768
   178/299      6.9G   0.02982   0.01643   0.01294   0.05919        35       640    0.7385    0.8811    0.8741    0.6158   0.01317  0.005012 0.0008747
   179/299      6.9G   0.02997    0.0163    0.0138   0.06007        28       640    0.7332    0.8779    0.8725     0.616    0.0132  0.005009 0.0008583
